,Question,Predict_CategoryIndex,Predict_Category
0,請問本校讀者如何利用「自動化書庫特殊館藏」、「自動化書庫參考書」？,0,借閱規則及服務
1,無借書權利的校友或校外人士，可使用自動化書庫的館藏嗎？,0,借閱規則及服務
2,自動化書庫在哪裡？,1,館藏資料位置
3,本校讀者預約自動化書庫的館藏，多久後可以取書？,0,借閱規則及服務
4,請問本校讀者如何利用自動化書庫的一般館藏？,0,借閱規則及服務
5,為什麼圖書館不接受我的預約？,0,借閱規則及服務
6,請問如何調閱閉架書庫的圖書和期刊？（研圖、舊總圖、總圖B1專藏文庫、總圖B1閉架書庫、徐州閉架書庫）,1,館藏資料位置
7,我的畢業論文不到20頁，要放在書背側邊的校名與系所有兩行字、論文題目也很長，請問應如何調整內容以利印製？,3,論文繳交與畢業離校
8,送印紙本論文須注意哪些項目？,3,論文繳交與畢業離校
9,畢業論文的字體大小和版面間距，一定要按格式規範的尺寸嗎？,3,論文繳交與畢業離校
10,畢業論文多少頁以下才可以單面印刷？,3,論文繳交與畢業離校
11,我想查的台大博碩士論文沒有電子全文怎麼辦？,1,館藏資料位置
12,畢業論文封面和內文格式的相關規定？,3,論文繳交與畢業離校
13,請問博碩士論文在哪裡？,1,館藏資料位置
14,總圖書館的公共電話在哪裡？（投幣式、IC卡式）,4,場地設備及網路
15,常見的館藏地/館藏狀態資訊 (SLIM雲端圖書館自動化系統),5,如何使用館藏目錄
16,如何自行於線上續借？,0,借閱規則及服務
17,Airiti 華藝線上圖書館透過校外連線VPN無法下載文獻，怎麼辦？,6,如何使用資料庫
18,Airiti 華藝線上圖書館的登入問題,6,如何使用資料庫
19,查詢新聞報紙應使用那些資料庫？,6,如何使用資料庫
20,VPN一直停在「正在保護連線安全」狀態，如何解決？,7,校外連線VPN
21,已經登入並連上VPN，但之後無法連上網頁，會反覆重新連線？,7,校外連線VPN
22,設定校外連線 VPN 後網路就斷了？,7,校外連線VPN
23,VPN出現「未能連線至 pulse secure統一網路服務」的錯誤訊息？,7,校外連線VPN
24,我的電腦只有Adobe Reader版，哪裡有 Adobe Acrobat Pro軟體可進行論文加浮水印、DOI碼？,4,場地設備及網路
25,請問書籍狀態是「交辦公室處理」是什麼意思?,1,館藏資料位置
26,SLIM館藏目錄上顯示「目前不可獲得」？,5,如何使用館藏目錄
27,線上續借或預約圖書時，忘記密碼了，怎麼辦？,5,如何使用館藏目錄
28,多媒體中心的視聽資料可以透過校內圖書代借、館際合作申請借出嗎？,0,借閱規則及服務
29,持「館際合作借書證」可以到總圖以外的分館、系所圖書室借書嗎？,8,館際合作服務
30,外校人士持實體館際合作互借證至本館申請館際互借之閱覽規則？,8,館際合作服務
31,其他單位向本館申請館際合作的收費標準？,8,館際合作服務
32,外校讀者用「館際合作借書證」外借的書，可以續借嗎？,8,館際合作服務
33,為什麼校友無法用計中帳密登入SLIM雲端圖書館自動化系統？,5,如何使用館藏目錄
34,外借的書可以續借幾次？,0,借閱規則及服務
35,VPN 已連線成功，仍無法使用某電子資源？,7,校外連線VPN
36,圖書館有訂The Wall Street Journal 華爾街日報嗎？,6,如何使用資料庫
37,校友如何在圖書館使用wifi無線網路？,4,場地設備及網路
38,逾期滯還金如何計算？,0,借閱規則及服務
39,預約書到館多久沒去借，會被取消該預約書的借書權利？,0,借閱規則及服務
40,圖書館有可以讓同學們討論報告的地方嗎？,4,場地設備及網路
41,如何訂閱圖書館的電子報(電子新聞)？,9,其他
42,哪些身分可用 VPN？休（退）學、畢業、校友、校外人士是否可用？,7,校外連線VPN
43,校友可以使用圖書館資料庫嗎？,6,如何使用資料庫
44,畢業後還可以用 EndNote書目管理軟體嗎？,10,校友服務
45,校友可借出總圖書館多媒體服務中心的影片嗎？,0,借閱規則及服務
46,繳交年費享有借書權利的校友，可以透過三校聯盟到台師大、台科大的圖書館借書嗎？,0,借閱規則及服務
47,圖書館有收錄台大早期的學士畢業論文嗎？,1,館藏資料位置
48,如何得知圖書館多媒體中心的熱門影片、新進影音？,1,館藏資料位置
49,校內期刊代印取件方式為何？,0,借閱規則及服務
50,如何得知校內圖書代借的申請件是否已到取書館？,11,代借
51,接獲校內圖書代借申請件到館通知後，有無取書期限？,0,借閱規則及服務
52,校內圖書代借服務程序為何？,0,借閱規則及服務
53,校內期刊代印服務申請資格？,0,借閱規則及服務
54,校內期刊代印服務程序為何？,0,借閱規則及服務
55,期刊代印服務範圍為何？,0,借閱規則及服務
56,如何查詢校內圖書代借服務、期刊代印服務的基金餘額及交易歷史？,0,借閱規則及服務
57,想查詢特定主題、資料類型，該使用哪些資料庫？,6,如何使用資料庫
58,「編目中」的書何時才會上架？,5,如何使用館藏目錄
59,標註「保留六個月/一年」的雜誌，超過保留期限後的處理方式？,1,館藏資料位置
60,圖書館有蒐藏碩士班入學考試、轉學考試的考古題嗎？,1,館藏資料位置
61,圖書館有蒐藏博士班、EMBA、在職專班考題嗎？,1,館藏資料位置
62,如何租借長期寄物櫃？,4,場地設備及網路
63,我的東西不見了，請問圖書館有撿到嗎？失物招領應該去哪裡找？,9,其他
64,台大有購買 Oxford Scholarship Online 電子書嗎？,12,如何使用電子書
65,請問中文/英文/外文小說在哪裡？,1,館藏資料位置
66,手動安裝程式──VPN出現錯誤訊息「nc.windows.app.23712」的處理方式,7,校外連線VPN
67,已經VPN校外連線了，為何還是無法使用圖書館的電子資源呢？──直接瀏覽器連網頁,7,校外連線VPN
68,校外連線時，未成功安裝 Pulse secure 程式？,7,校外連線VPN
69,校外連線VPN的驅動程式Pulse Secure安裝失敗，怎麼辦？,7,校外連線VPN
70,使用校外連線前，移除所有Juniper Networks軟體， 但安裝Pulse Security到一半就出現'安裝失敗請洽管理員'，改用管理員身分執行也無法執行完畢。,7,校外連線VPN
71,緩衝期是什麼意思?,0,借閱規則及服務
72,多媒體服務中心的館藏可否外借？,0,借閱規則及服務
73,讀者可否自行攜帶影片來總圖書館多媒體服務中心內觀看？,0,借閱規則及服務
74,同學們想一起看影片，圖書館有這樣的地方嗎？,4,場地設備及網路
75,本校社團或行政單位若有影展等活動需求，可否外借公播版影片於活動中播放？,0,借閱規則及服務
76,MEDLINE資料庫裡的文獻，都屬於SCI的文章嗎？,13,學術評鑑指標與排名
77,如何下載香港大學出版社(Hong Kong University Press)的電子書,12,如何使用電子書
78,如何閱讀及下載EBSCOhost eBook Collection的電子書？,12,如何使用電子書
79,期刊有哪些可作學術評鑑參考的指標？,13,學術評鑑指標與排名
80,來自JCR、ESI、和SCOPUS的種種期刊評鑑指標，是否可作為期刊排名的依據呢？,14,ESI
81,如何查詢某期刊是否為SCIE、SSCI、A&HCI、EI、TSSCI、或THCI的期刊？,13,學術評鑑指標與排名
82,某期刊曾收錄於SCIE、SSCI(或某資料庫)，但現已被剔除，如何認定？,13,學術評鑑指標與排名
83,若非期刊，文章有可作學術評鑑參考的指標嗎？,13,學術評鑑指標與排名
84,總圖書館地下一樓(B1)的影印中心，聯絡電話為何？,4,場地設備及網路
85,經圖書館決定採購的推薦圖書，為何過了一段時間之後，仍未看到入藏？,15,圖書推薦系統
86,所有推薦都可提供優先預約服務嗎？,16,推薦
87,為什麼轉介系所評估的推薦圖書件，常需耗費較多時間才能得知是否採購？,16,推薦
88,薦購資料處理狀態說明,15,圖書推薦系統
89,先前已至系統推薦過，但因某些緣故遭圖書館退件資料（如：前次推薦之際，尚未正式出版），為何無法再次於系統中推薦？,15,圖書推薦系統
90,圖書推薦系統是否受理視聽資料的推薦？,15,圖書推薦系統
91,如何取消館際合作NDDS或JADE的申請件？,8,館際合作服務
92,透過館際合作NDDS或JADE取得的文件或圖書，可以報帳嗎？,8,館際合作服務
93,是否與中國大陸的圖書館有館際合作互惠？,8,館際合作服務
94,當查詢電子資源時，出現「IP 163.28.16.4：不被允許登入！」的錯誤訊息該怎麼辦？,6,如何使用資料庫
95,我在臺大是第一次申請NDDS全國文獻傳遞服務系統，但系統顯示 ID (身份證號重覆) 無法註冊成功？,8,館際合作服務
96,查詢法文資源可使用哪些資料庫？,6,如何使用資料庫
97,查詢德文資源可使用哪些資料庫？,6,如何使用資料庫
98,查詢日文資源應使用那些資料庫？,6,如何使用資料庫
99,我用索引或摘要查得的期刊名稱常為縮寫，請問要如何查得其全名？,5,如何使用館藏目錄
100,向圖書館外借的館藏遺失了，該如何處理？,0,借閱規則及服務
101,圖書館網站名稱前面的Logo有什麼特殊意義？,9,其他
102,何種資料不接受預約？,0,借閱規則及服務
103,休學生可以借書嗎？可以使用圖書館哪些資源與服務？,0,借閱規則及服務
104,在總圖書館1F借書櫃台借的附件光碟，可以在館內何處的電腦使用？,4,場地設備及網路
105,我是校總區的學生，如果想借的書在醫圖，一定要本人親自前往醫學校區借嗎？,0,借閱規則及服務
106,圖書代借服務之圖書借閱期限？,0,借閱規則及服務
107,申請校內圖書代借服務之冊數限制？,0,借閱規則及服務
108,校內圖書代借服務申請資格？,0,借閱規則及服務
109,校內圖書代借服務是否要收費？,0,借閱規則及服務
110,校內圖書代借服務範圍為何？,0,借閱規則及服務
111,在SLIM查到的期刊，為何架上找不到？,1,館藏資料位置
112,在本館SLIM系統查到的圖書，為何書架上找不到？,1,館藏資料位置
113,我所預約的書在什麼情況下，會被取消預約？,0,借閱規則及服務
114,無借書權利的校友或校外人士，如何使用總圖1F借書櫃台的光碟附件資料？,0,借閱規則及服務
115,有些資料的館藏地是「總圖1F借書櫃台」？,1,館藏資料位置
116,iThenticate著作原創性檢查服務：請問本校有買防止論文抄襲剽竊、文稿原創性比對的軟體嗎？,17,投稿與學術倫理
117,校外人士如何向本館申請館際合作服務？,8,館際合作服務
118,館藏目錄顯示書籍在臺文所，如何借閱？,1,館藏資料位置
119,如何在圖書館影印(copy)或列印(print)資料呢？怎麼計費？,4,場地設備及網路
120,訪問學者如何使用校外連線VPN？,7,校外連線VPN
121,碩博士生畢業離校繳交及上傳論文的程序為何？,3,論文繳交與畢業離校
122,有沒有館員或師長推薦閱讀的書單呢？,1,館藏資料位置
123,有沒有館員或師長推薦閱讀的書單呢？,1,館藏資料位置
124,有沒有館員或師長推薦閱讀的書單呢？,1,館藏資料位置
125,多媒體中心的視聽資料一次可以借幾片？借期多長？可以續借嗎？,0,借閱規則及服務
126,論文的口試委員審定書一定要系主任或所長簽章？,3,論文繳交與畢業離校
127,畢業論文的電子檔案上傳前要做什麼步驟？,3,論文繳交與畢業離校
128,電子論文檔案需附上口試委員審定書嗎？,3,論文繳交與畢業離校
129,紙本論文封面要加浮水印及DOI嗎？,3,論文繳交與畢業離校
130,紙本論文中的口試委員審定書，一定要正本？,3,論文繳交與畢業離校
131,圖書館是否有規範畢業論文的精裝、平裝、顏色？,3,論文繳交與畢業離校
132,碩博士生畢業的紙本論文繳交截止日？,3,論文繳交與畢業離校
133,圖書館在審核畢業論文的格式時，是看哪些部分？會看APA之類引文格式的錯誤嗎？,3,論文繳交與畢業離校
134,畢業學生拿到畢業證書後，在辦理校友證的等待期間，是否還能憑學生證入館（含B1自習室）？,18,如何入館
135,電子書可以設定成課程指參嗎？,0,借閱規則及服務
136,請問怎麼跟館員約課，學習EndNote或各種資料庫的使用？,9,其他
137,圖書館有蒐藏國家考試試題嗎？,1,館藏資料位置
138,我的Open Athens帳號密碼是什麼？,7,校外連線VPN
139,請問新生在入學報到、未領學生證前，可以進入圖書館嗎？使用總圖B1自習室嗎？,18,如何入館
140,逾期歸還多媒體服務中心館藏的罰則為何？,0,借閱規則及服務
141,多媒體服務中心與文學院外語教學暨資源中心-e自學空間是否不同？兩者收藏的資料是否會重複？,1,館藏資料位置
142,跨校漫遊: 他校師生如何在台大圖書館內使用wifi無線網路？,4,場地設備及網路
143,訪問學者可以借書、借用研究小間或討論室嗎？,0,借閱規則及服務
144,推薦圖書系統上顯示已有他人推薦，且已在採購流程中的圖書，但為何館藏目錄無法查得相關資料？,15,圖書推薦系統
145,如果在圖書館館藏目錄查到館藏為計畫用書或是教師指定參考書，是否可以推薦採購複本？,15,圖書推薦系統
146,圖書館的The Economist《經濟學人》雜誌在哪裡？,1,館藏資料位置
147,圖書館有商業周刊、天下雜誌、遠見的電子版嗎？,5,如何使用館藏目錄
148,請問過期雜誌放在哪裡？例如：天下雜誌、商業周刊、科學人雜誌,1,館藏資料位置
